2025,Institution,Country / Territory,Rank2025,institution_clean
151,Technical University of Denmark,Denmark,151.0,technical university of denmark
=152,ITMO University,Russian Federation,152.0,itmo university
=152,Leiden University,Netherlands,152.0,leiden university
=152,Sungkyunkwan University (SKKU),Republic of Korea,152.0,sungkyunkwan university skku
=152,Universiti Teknologi Malaysia,Malaysia,152.0,universiti teknologi malaysia
=156,Cairo University,Egypt,156.0,cairo university
=156,Khalifa University of Science and Technology,United Arab Emirates,156.0,khalifa university of science and technology
=156,Macquarie University,Australia,156.0,macquarie university
=156,The Ohio State University,United States of America,156.0,the ohio state university
=156,Vrije Universiteit Amsterdam,Netherlands,156.0,vrije universiteit amsterdam
=161,Hanyang University,Republic of Korea,161.0,hanyang university
=161,University of Florida,United States of America,161.0,university of florida
163,Chalmers University of Technology,Sweden,163.0,chalmers university of technology
164,National University of Sciences And Technology (NUST) Islamabad,Pakistan,164.0,national university of sciences and technology nust islamabad
=165,Ruprecht-Karls-Universität Heidelberg,Germany,165.0,ruprechtkarlsuniversitt heidelberg
=165,Universiti Sains Malaysia (USM),Malaysia,165.0,universiti sains malaysia usm
=167,Beihang University (former BUAA),China (Mainland),167.0,beihang university former buaa
=167,Newcastle University,United Kingdom,167.0,newcastle university
=167,RMIT University,Australia,167.0,rmit university
=167,University of Warsaw,Poland,167.0,university of warsaw
171,Technical University of Darmstadt,Germany,171.0,technical university of darmstadt
=172,Universidad Carlos III de Madrid (UC3M),Spain,172.0,universidad carlos iii de madrid uc3m
=172,University of North Carolina. Chapel Hill,United States of America,172.0,university of north carolina chapel hill
174,University of Birmingham,United Kingdom,174.0,university of birmingham
=175,Universidad Politécnica de Madrid (UPM),Spain,175.0,universidad politcnica de madrid upm
=175,Universitat Autònoma de Barcelona,Spain,175.0,universitat autnoma de barcelona
=175,University College Dublin,Ireland,175.0,university college dublin
=175,University of Helsinki,Finland,175.0,university of helsinki
179,Deakin University,Australia,179.0,deakin university
