university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
Ohio University-Main Campus,Computer Science Masters,Accepted,F19,International,3.60,169.0,,155.0,3.5
University of California (UCLA),Computer Science Masters,Accepted,F20,American,,,,,
Vanderbilt University,Computer Science Masters,Accepted,F19,American,3.30,163.0,,170.0,6.0
University of Florida,Computer Science Masters,Accepted,F19,International,3.52,164.0,,151.0,3.0
Buffalo State University,Computer Science Masters,Accepted,F17,International,,167.0,,154.0,4.0
Columbia College,Computer Science Masters,Accepted,F19,International,,170.0,,165.0,4.0
Illinois Institute of Technology,Computer Science Masters,Accepted,F15,International,,,,,
Columbia College,Computer Science Masters,Accepted,F19,International,,168.0,,163.0,4.5
Dartmouth College,Computer Science Masters,Accepted,F19,,,,,,
Northeaster University,Computer Science Masters,Accepted,S16,American,3.73,167.0,,170.0,4.5
Carnegie Mellon University,Computer Science (LTI) Masters,Accepted,F15,International,3.50,170.0,,160.0,4.0
Northeastern University,Computer Science Masters,Accepted,F19,International,,167.0,,152.0,3.0
"University at Buffalo, State University of New York",Computer Science Masters,Accepted,F20,International,,,,,
NC State University,Computer Science Masters,Accepted,F15,International,,,,,
North Carolina State University,Computer Science Masters,Accepted,F18,International,3.40,167.0,,154.0,4.0
Cornell University,Computer Science Masters,Accepted,F17,American,,,,,
University of Southern California,Computer Science (Scientists And Engineers) Masters,Accepted,F18,American,,,,,
Arizona State University,Computer Science Masters,Accepted,F19,International,,,,,
University of Chicago,Computer Science Masters,Accepted,F19,American,3.48,165.0,,165.0,4.0
University of Texas at Austin,Computer Science Masters,Accepted,F16,International,3.99,170.0,,169.0,5.0
Albany State University,Computer Science Masters,Accepted,F15,International,3.00,157.0,,151.0,2.5
University of Copenhagen,Computer Science Masters,Accepted,F19,International,,,,,
University of Southern California,Computer Science Masters,Accepted,F20,International,4.06,170.0,,155.0,3.0
University of Texas,Computer Science Masters,Accepted,F19,International,,164.0,,152.0,3.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.73,168.0,,162.0,5.0
NC State University,Computer Science Masters,Accepted,F15,International,3.55,170.0,,156.0,3.5
University Of Illinois Urbana Champagne (UIUC),Computer Science Masters,Accepted,F17,International,3.83,165.0,,159.0,4.0
San Diego State University,Computer Science Masters,Accepted,F17,International,3.46,161.0,,160.0,4.0
Simon Fraser University,Computer Science In Big Data Masters,Accepted,F15,International,,,,,
Brown University,Computer Science Masters,Accepted,F17,International,,,,,
Cambridge College,Computer Science Masters,Accepted,F19,,,,,,
Northwestern University,Computer Science Masters,Accepted,F16,International,3.90,170.0,,155.0,4.0
The University of British Columbia,Computer Science Masters,Accepted,F19,International,3.99,,,,
Harvard University,Computer Science Masters,Accepted,,International,,,,,
Davis College,Computer Science Masters,Accepted,F19,American,,,,,
University of Toronto,Computer Science Masters,Accepted,F15,International,3.78,162.0,,169.0,4.5
Simon Fraser University,"Computer Science, Big Data Professional Masters Masters",Accepted,F19,International,3.34,,,,
Koc University,Computer Science Masters,Accepted,F19,International,3.14,,,,
Carnegie Mellon University,"Computer Science, Language Technologies Institute (LTI) Masters",Accepted,F16,International,3.78,164.0,,162.0,3.5
University of California (UCLA),Computer Science Masters,Accepted,F15,International,,,,,
Carnegie Mellon University,Computer Science MLT-LTI Masters,Accepted,F19,International,9.28,168.0,,160.0,4.5
ETH Zurich,Computer Science-Data Science Masters,Accepted,F17,International,,166.0,,152.0,4.0
The University of Texas at Arlington,Computer Science Masters,Accepted,F20,International,,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F20,,,,,,
University of Virginia,Computer Science Masters,Accepted,F19,International,,,,,
Columbia College,Computer Science Masters,Accepted,F16,International,,,,,
McGill University,Computer Science Masters,Accepted,F17,International,7.93,170.0,,155.0,4.0
Cornell University,Computer Science Masters,Accepted,F17,American,,,,,
University of California (UCLA),Computer Science Masters,Accepted,F15,International,,,,,
Duke University,Computer Science Masters,Accepted,F17,International,3.30,168.0,,152.0,3.0
Brown University,Computer Science Masters,Accepted,F15,American,3.52,153.0,,161.0,4.0
University of Texas at Austin,Computer Science Masters,Accepted,F15,American,3.93,165.0,,160.0,3.5
University of Massachusetts Dartmouth,Computer Science Masters,Accepted,F15,International,3.40,144.0,,146.0,3.0
Columbia College,Computer Science Masters,Accepted,F19,American,3.99,170.0,,164.0,5.5
University of Texas at Austin,Computer Science Masters Masters,Accepted,F16,American,,,,,
University of Southern California,Computer Science Masters,Accepted,F18,International,3.32,170.0,,153.0,3.5
University of Florida,Computer Science Masters,Accepted,F15,International,3.15,165.0,,157.0,4.5
Technische Universität München (TUM),Computer Science Masters,Accepted,F16,International,4.00,167.0,,166.0,4.0
Cornell University,Computer Science Masters,Accepted,F19,International,3.84,170.0,,168.0,3.0
University of Alberta,Computer Science Masters,Accepted,F19,International,3.98,,,,
Columbia University,Computer Science - Machine Learning Masters,Accepted,S18,American,3.38,168.0,,164.0,4.5
Technical University Of Munich (TUM),Computer Science Masters,Accepted,F19,International,3.14,,,,
Stony Brook University,Computer Science Masters,Accepted,Spring 2020,International,8.04,170.0,,162.0,4.0
