university,program,decision,term,citizenship,gpa_raw,gre_total,institution_clean
University of Southern California,Computer Science (Networks) Masters,Accepted,F16,International,3.9,169.0,university of southern california
RIT,Computer Science Masters,Accepted,F17,International,3.83,169.0,rit
"University at Buffalo, State University of New York",Computer Science Masters,Accepted,F19,International,3.4,167.0,university at buffalo state university of new york
Columbia College,Computer Science Masters,Accepted,F15,American,3.2,160.0,columbia college
McGil,Computer Science Masters,Accepted,F18,American,3.14,163.0,mcgil
Cornell University,Computer Science Masters,Accepted,F19,International,3.45,169.0,cornell university
University of Toronto,Computer Science Masters,Accepted,F16,American,3.7,160.0,university of toronto
USC Viterbi School Of Enginering,Computer Science Masters,Accepted,F19,International,3.7,164.0,usc viterbi school of enginering
University of Massachusetts Amherst,Computer Science Masters,Accepted,F15,International,3.33,168.0,university of massachusetts amherst
Columbia University,Computer Science Masters,Accepted,F16,American,3.5,168.0,columbia university
Ohio State University-Main Campus,Computer Science Masters,Accepted,F16,International,3.7,167.0,ohio state universitymain campus
University of Southern California,Computer Science (Software Engineering) Masters,Accepted,F17,International,3.68,156.0,university of southern california
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,American,3.61,160.0,georgia institute of technology
University of California (UCLA),Computer Science Masters,Accepted,F20,American,3.98,170.0,university of california ucla
University of California,Computer Science Masters,Accepted,F18,American,3.6,169.0,university of california
Northwestern Universituy,Computer Science Masters,Accepted,F15,International,3.75,167.0,northwestern universituy
University of Southern California,Computer Science Of Game Development Masters,Accepted,F20,International,3.85,170.0,university of southern california
Columbia College,Computer Science Masters,Accepted,F17,International,4.0,165.0,columbia college
University of California,Computer Science Masters,Accepted,F17,American,3.15,168.0,university of california
University of Wisconsin,Computer Science Masters,Accepted,F15,International,4.0,167.0,university of wisconsin
KU Leuven,Computer Science Masters,Accepted,S18,International,3.31,164.0,ku leuven
University of Southern California,Computer Science Masters,Accepted,F20,International,3.4,170.0,university of southern california
University of Southern California,Computer Science - Scientists And Engineers Masters,Accepted,F18,International,3.9,167.0,university of southern california
Cornell University,Computer Science Masters,Accepted,F15,International,3.7,164.0,cornell university
University of California (UCLA),Computer Science Masters,Accepted,F17,International,3.77,168.0,university of california ucla
University of Colorado Boulder,Computer Science Masters,Accepted,F17,American,3.79,159.0,university of colorado boulder
University of Toronto,Computer Science: MSc In Applied Computing Masters,Accepted,F17,International,3.7,169.0,university of toronto
University of Wisconsin,Computer Science Masters,Accepted,F19,American,3.3,158.0,university of wisconsin
University of Southern California,Computer Science MS Masters,Accepted,F18,American,3.61,170.0,university of southern california
"University of California, Irvine",Computer Science Masters,Accepted,F18,American,3.6,169.0,university of california irvine
Utah State University,Computer Science Masters,Accepted,F16,International,3.26,164.0,utah state university
Georgia Institute of Technology,Computer Science Information Security Masters,Accepted,F16,International,3.6,152.0,georgia institute of technology
Stony Brook University,Computer Science Masters,Accepted,F16,International,3.93,170.0,stony brook university
Arizona State University,Computer Science Masters,Accepted,F15,International,3.86,165.0,arizona state university
