university,program,decision,term,citizenship,gpa_raw,gre_total
UIC,Computer Science Masters,Accepted,F15,International,3.31,157.0
Davis College,Computer Science Masters,Accepted,F15,International,3.4,163.0
University of Toronto,Computer Science (Applied Computing) Masters,Accepted,F15,International,3.86,168.0
University of California (UCSC),Computer Science Masters,Accepted,F19,International,3.2,167.0
University of California,Computer Science Masters,Accepted,F15,International,3.78,153.0
Columbia College,Computer Science Masters,Accepted,F15,American,3.41,170.0
Arizona State University,Computer Science Masters,Accepted,F19,International,3.6,160.0
University of Southern California,Computer Science (Data Science) Masters,Accepted,F20,American,3.9,164.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F15,International,3.84,168.0
Carnegie Mellon University,Computer Science - LTI - Intelligent Information Systems Masters,Accepted,F17,International,3.4,170.0
University of Southern California,Computer Science Masters,Accepted,F15,International,3.6,164.0
Columbia College,Computer Science Masters,Accepted,F15,American,3.55,153.0
NYU Courant (GSAS),Computer Science(MSCS) Masters,Accepted,F18,International,3.46,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.95,165.0
University Of Pennslyvania (UPenn),Computer Science Masters,Accepted,F16,International,3.85,164.0
Georgia Institute of Technology,Computer Science - Online Masters,Accepted,Spring 2019,International,3.5,170.0
University of Southern California,Computer Science Masters,Accepted,F17,American,3.4,165.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.96,165.0
Purdue University,Computer Science Masters,Accepted,F15,International,3.8,169.0
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.75,170.0
Columbia College,Computer Science Masters,Accepted,F15,International,3.78,170.0
University of Minnesota Twin Cities,Computer Science Masters,Accepted,F18,International,3.7,170.0
Duke University,Computer Science Masters,Accepted,F18,International,3.72,153.0
University of Michigan,Computer Science and Engineering Masters,Accepted,F19,International,3.73,170.0
University of California,Computer Science Masters,Accepted,F19,International,3.88,169.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.96,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F20,International,3.1,170.0
Rutgers University,Computer Science Masters,Accepted,F19,International,3.37,169.0
Princeton University,Computer Science Masters,Accepted,F15,International,3.95,170.0
George Washington University,Computer Science Masters,Accepted,F15,International,3.14,165.0
"University of California, Irvine",Computer Science Masters,Accepted,F15,American,3.3,158.0
University of California,Computer Science Masters,Accepted,F19,International,3.8,170.0
University of Pennsylvania,"Computer Science, Computer Graphics And Game Technology Masters",Accepted,F16,International,3.8,165.0
University of Oxford,Computer Science Masters,Accepted,F18,International,3.8,169.0
"University Of Minnesota, Twin Citites",Computer Science Masters,Accepted,F15,International,3.67,164.0
University of Pennsylvania,Computer Science Masters,Accepted,F16,International,3.9,170.0
University of Kansas,Computer Science Masters,Accepted,F19,International,3.0,160.0
University of Southern California,Computer Science - Data Science Masters,Accepted,S17,International,3.5,168.0
Loyola University Chicago,Computer Science Masters,Accepted,F19,International,3.0,168.0
University of Southern California,Computer Science (scientists And Engineers) Masters,Accepted,F19,International,3.73,165.0
University of Pennsylvania,Computer Science Masters,Accepted,F19,American,3.65,162.0
University of Southern California,Computer Science- Data Science Masters,Accepted,F16,International,3.9,166.0
Carnegie Mellon University,Computer Science Master Of Science In Robotics Masters,Accepted,F20,American,3.9,164.0
Technical University Of Munich (TUM),Computer Science Masters,Accepted,F16,International,3.15,168.0
University of Michigan,Computer Science and Engineering Masters,Accepted,F19,American,3.7,169.0
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science - Multimedia And Creative Technologies Masters,Accepted,S18,International,3.8,159.0
Amherst College,Computer Science Masters,Accepted,F19,International,3.92,168.0
Rice University,Computer Science Masters,Accepted,F19,American,3.85,167.0
Drexel University,Computer Science Masters,Accepted,F19,International,3.2,161.0
Berkeley College,Computer Science Masters,Accepted,F17,International,3.88,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,F16,International,3.59,167.0
University of Southern California,Computer Science Masters,Accepted,F19,American,4.0,170.0
George Washington University,Computer Science Masters,Accepted,F18,International,3.5,147.0
Stony Brook University,Computer Science MS Masters,Accepted,F17,International,3.7,170.0
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.12,170.0
Cornell University,Computer Science Masters,Accepted,F17,American,3.88,168.0
University of Dallas,Computer Science Masters,Accepted,F16,International,3.69,165.0
"University of California, Irvine",Computer Science Masters,Accepted,F16,International,3.75,170.0
Brown University,Computer Science Masters,Accepted,F15,International,3.4,165.0
University of Southern California,Computer Science Masters,Accepted,F20,International,3.75,170.0
University of Virginia,Computer Science Masters,Accepted,F17,International,3.4,148.0
University of Illinois Chicago (UIC),Computer Science Masters,Accepted,F19,American,3.51,162.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F19,American,3.85,167.0
University of Southern California,Computer Science Masters,Accepted,F15,International,3.9,162.0
Arizona State University,Computer Science Masters,Accepted,F20,International,3.3,165.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.83,167.0
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science ( Intelligent Robotics) Masters,Accepted,F18,American,3.5,165.0
New York University,Computer Science Masters,Accepted,F15,American,3.92,155.0
University of Chicago,Computer Science Masters,Accepted,F20,International,4.0,167.0
University of California (UCLA),Computer Science Masters,Accepted,F18,American,3.6,169.0
University of California,Computer Science Masters,Accepted,F15,International,3.9,168.0
Santa Clara University,Computer Science Masters,Accepted,F18,International,3.3,162.0
University of Chicago,Computer Science Masters,Accepted,F17,International,3.52,164.0
University of California,Computer Science Masters,Accepted,F16,International,4.0,167.0
Indiana University,Computer Science Masters,Accepted,F15,International,3.55,170.0
Columbia University,Computer Science Masters,Accepted,F17,International,3.9,168.0
George Washington University,Computer Science Masters,Accepted,F19,International,3.5,143.0
