university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
San Diego State University,Computer Science Masters,Accepted,F17,International,3.46,161.0,,160.0,4.0
Northwestern University,Computer Science Masters,Accepted,F16,International,3.9,170.0,,155.0,4.0
The University of British Columbia,Computer Science Masters,Accepted,F19,International,3.99,,,,
University of Toronto,Computer Science Masters,Accepted,F15,International,3.78,162.0,,169.0,4.5
Simon Fraser University,"Computer Science, Big Data Professional Masters Masters",Accepted,F19,International,3.34,,,,
Koc University,Computer Science Masters,Accepted,F19,International,3.14,,,,
Carnegie Mellon University,"Computer Science, Language Technologies Institute (LTI) Masters",Accepted,F16,International,3.78,164.0,,162.0,3.5
Carnegie Mellon University,Computer Science MLT-LTI Masters,Accepted,F19,International,9.28,168.0,,160.0,4.5
McGill University,Computer Science Masters,Accepted,F17,International,7.93,170.0,,155.0,4.0
Duke University,Computer Science Masters,Accepted,F17,International,3.3,168.0,,152.0,3.0
Brown University,Computer Science Masters,Accepted,F15,American,3.52,153.0,,161.0,4.0
University of Texas at Austin,Computer Science Masters,Accepted,F15,American,3.93,165.0,,160.0,3.5
University of Massachusetts Dartmouth,Computer Science Masters,Accepted,F15,International,3.4,144.0,,146.0,3.0
Columbia College,Computer Science Masters,Accepted,F19,American,3.99,170.0,,164.0,5.5
University of Southern California,Computer Science Masters,Accepted,F18,International,3.32,170.0,,153.0,3.5
University of Florida,Computer Science Masters,Accepted,F15,International,3.15,165.0,,157.0,4.5
Technische Universität München (TUM),Computer Science Masters,Accepted,F16,International,4.0,167.0,,166.0,4.0
Cornell University,Computer Science Masters,Accepted,F19,International,3.84,170.0,,168.0,3.0
University of Alberta,Computer Science Masters,Accepted,F19,International,3.98,,,,
Columbia University,Computer Science - Machine Learning Masters,Accepted,S18,American,3.38,168.0,,164.0,4.5
Technical University Of Munich (TUM),Computer Science Masters,Accepted,F19,International,3.14,,,,
Stony Brook University,Computer Science Masters,Accepted,Spring 2020,International,8.04,170.0,,162.0,4.0
SFU,Computer Science In Big Data Masters,Accepted,F15,International,3.78,170.0,,156.0,4.0
University of California,Computer Science Masters,Accepted,F20,International,3.7,162.0,,163.0,3.5
Buffalo State University,Computer Science Masters,Accepted,F17,International,3.46,161.0,,160.0,4.0
Concordia University,Computer Science Masters,Accepted,F15,International,3.68,170.0,,160.0,3.0
New York University,Computer Science Masters,Accepted,F18,International,3.8,170.0,,154.0,3.5
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.6,170.0,,149.0,4.0
University of Texas,Computer Science Masters,Accepted,F15,International,3.7,164.0,,152.0,4.0
ETH Zurich,Computer Science Masters,Accepted,F19,International,3.9,,,,
Northeastern University,Computer Science Masters,Accepted,Spring 2020,International,8.04,170.0,,162.0,4.0
