university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
"University of California, Berkeley",Computer Science Masters,Rejected,Fall 2025,American,,,,,
University of Oregon,Computer Science Masters,Rejected,Fall 2025,International,3.30,,,,
"University of California, Berkeley",Computer Science Masters,Rejected,Fall 2025,American,,,,,
"University of California, Berkeley",Computer Science Masters,Rejected,Fall 2025,International,3.80,326.0,,158.0,4.5
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,3.91,,,,
"University of California, Berkeley",Computer Science Masters,Rejected,Fall 2025,International,,,,,
"University of California, Berkeley",Computer Science Masters,Rejected,Fall 2025,International,,,,,
"University of California, Berkeley",Computer Science Masters,Rejected,Fall 2025,International,,,,,
Cornell Tech,Computer Science Masters,Rejected,Fall 2025,International,3.67,,,,
Cornell University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
MILA University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Cornell College,Computer Science Masters,Rejected,Fall 2025,International,3.77,,,,
MILA University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
MILA University,Computer Science Masters,Rejected,Fall 2025,International,3.80,,,,
Cornell University,Computer Science Masters,Rejected,Fall 2025,International,3.50,163.0,,159.0,
University of Waterloo,Computer Science Masters,Rejected,Fall 2025,International,,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,,,,,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,International,,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,,,,,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,International,3.37,,,,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,International,3.76,324.0,,155.0,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,International,,,,,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,International,3.70,,,,
University of Texas at Austin,Computer Science and Engineering Masters,Rejected,Fall 2025,International,3.70,340.0,,170.0,5.0
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.70,321.0,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.70,321.0,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.70,321.0,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,3.70,312.0,,,
Harvard University,Computer Science Masters,Rejected,Fall 2025,International,3.29,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Rice University,Computer Science Masters,Rejected,Fall 2025,American,3.50,,,,
University of Illinois Urbana,Computer Science Masters,Rejected,Fall 2025,International,3.80,326.0,,158.0,4.5
Rice University,Computer Science Masters,Rejected,Fall 2025,International,3.57,,,,
University of Illinois Urbana,Computer Science Masters,Rejected,Fall 2025,International,3.87,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.93,324.0,,157.0,5.0
University of Illinois Urbana,Computer Science Masters,Rejected,Fall 2025,International,3.93,324.0,,157.0,5.0
University of Illinois Urbana,Computer Science Masters,Rejected,Fall 2025,International,3.86,164.0,,167.0,
University of Illinois Urbana,Computer Science Masters,Rejected,Fall 2025,International,3.76,324.0,,155.0,
University of Illinois Urbana,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.93,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,4.00,331.0,,161.0,5.0
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.55,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,3.87,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,3.97,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.93,,,,
ETH Zurich,Computer Science Masters,Rejected,Spring 2025,International,3.90,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,3.98,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,3.98,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.75,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.67,,,,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,American,3.52,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.66,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.61,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.92,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,4.00,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.87,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Yale University,Computer Science Masters,Rejected,Fall 2025,International,3.91,,,,
University of Colorado Boulder,Computer Science Masters,Rejected,Fall 2025,International,3.30,,,,
Yale University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
NYU Tandon School of Engineering,Computer Science Masters,Rejected,Fall 2025,American,3.60,,,,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,American,3.95,,,,
University of Arizona,Computer Science Masters,Rejected,Fall 2025,International,3.30,,,,
University of Utah,Computer Science Masters,Rejected,Fall 2025,International,3.30,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,4.00,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.87,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.63,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.35,,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,3.87,336.0,,166.0,5.0
Yale University,Computer Science Masters,Rejected,Fall 2025,International,3.94,315.0,,,
Yale University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Dartmouth College,Computer Science Masters,Rejected,Fall 2025,International,3.70,170.0,,158.0,3.5
University of California,Computer Science Masters,Rejected,Fall 2025,American,3.52,,,,
University of Virginia,Computer Science Masters,Rejected,Fall 2025,International,8.65,,,,
University of Virginia,Computer Science Masters,Rejected,Fall 2025,International,3.57,,,,
University of Virginia,Computer Science Masters,Rejected,Fall 2025,International,2.86,,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,2.80,170.0,,154.0,3.0
University of Virginia,Computer Science Masters,Rejected,Fall 2025,International,3.76,324.0,,155.0,
University of California,Computer Science Masters,Rejected,Fall 2025,American,3.62,,,,
Villanova University,Computer Science Masters,Rejected,Fall 2025,International,3.77,,,,
University of California,Computer Science Masters,Rejected,Fall 2025,American,4.00,,,,
Imperial College London,Computer Science Masters,Rejected,Fall 2025,International,,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.56,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.85,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.80,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.69,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.69,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.70,,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,3.91,316.0,,148.0,4.0
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,International,4.80,329.0,,159.0,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.75,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.80,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,3.91,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.94,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.92,328.0,,160.0,5.0
Harvard University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Chicago,Computer Science Masters,Rejected,Fall 2025,American,2.32,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,3.55,324.0,,161.0,4.0
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.86,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.86,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,4.00,331.0,,161.0,99.99
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.99,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,3.82,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.70,340.0,,170.0,5.0
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,3.89,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,4.00,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,3.60,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.96,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.70,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.97,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.93,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,International,3.94,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,3.80,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,4.00,,,,
Princeton University,Computer Science Masters,Rejected,Fall 2025,American,3.73,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.40,,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,3.60,321.0,,,
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,International,3.60,321.0,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,American,3.93,,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,,170.0,,,
University of Alabama,Computer Science Masters,Rejected,Fall 2025,International,3.28,,,,
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,American,3.68,321.0,,156.0,4.0
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,International,3.70,170.0,,158.0,3.5
Imperial College London,Computer Science Masters,Rejected,Fall 2025,International,3.18,326.0,,156.0,4.0
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,American,,,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,3.62,319.0,,,
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,International,3.40,327.0,,170.0,5.0
Carnegie Mellon University,Computer Science Masters,Rejected,Fall 2025,American,3.94,330.0,,,
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,American,3.55,324.0,,161.0,4.0
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,International,3.96,,,,
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Carnegie Mellon,Computer Science Masters,Rejected,Fall 2025,International,3.80,,,,
University of Ottawa,Computer Science Masters,Rejected,Fall 2025,International,3.77,,,,
University of Gothenburg,Computer Science Masters,Rejected,Fall 2025,American,3.20,164.0,,161.0,5.5
University of California (UCLA),Computer Science Masters,Rejected,Fall 2025,International,3.92,333.0,,166.0,3.0
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.46,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Waterloo,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Northwestern University,Computer Science Masters,Rejected,Fall 2025,International,3.87,,,,
Northwestern University,Computer Science Masters,Rejected,Fall 2025,International,3.87,,,,
Northwestern University,Computer Science Masters,Rejected,Fall 2025,International,3.70,170.0,,170.0,5.0
California State Polytechnic University,Computer Science Masters,Rejected,Fall 2025,American,3.48,,,,
California State Polytechnic University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
University of North Texas (UNT),Computer Science Masters,Rejected,Fall 2025,International,2.80,,,,
Iowa State University,Computer Science Masters,Rejected,Fall 2025,International,3.40,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.72,336.0,,166.0,4.0
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.30,,,,
University of Washington-Tacoma Campus,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.50,,,,
Harvard University,Computer Science Masters,Rejected,Fall 2025,American,3.27,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.87,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.58,167.0,,163.0,5.0
University of California,Computer Science Masters,Rejected,Fall 2025,American,,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,American,,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.75,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.70,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,8.62,323.0,,155.0,4.0
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.66,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.89,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Harvard University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.83,,,,
Harvard University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.93,,,,
Harvard University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Harvard University,Computer Science Masters,Rejected,Fall 2025,American,,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,,330.0,,160.0,4.5
Harvard University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Harvard University,Computer Science Masters,Rejected,Fall 2025,International,3.93,,,,
Harvard University,Computer Science Masters,Rejected,Fall 2025,International,3.94,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,American,3.89,,,,
University of Wisconsin,Computer Science Masters,Rejected,Fall 2025,International,3.90,,,,
California State Polytechnic University,Computer Science Masters,Rejected,Fall 2025,American,3.90,,,,
University of Chicago,Computer Science Masters,Rejected,Fall 2025,American,3.55,,,,
University of Cambridge,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Cambridge,Computer Science Masters,Rejected,Fall 2025,International,,,,,
New York University,Computer Science Masters,Rejected,Fall 2025,International,3.72,,,,
New York University,Computer Science Masters,Rejected,Fall 2025,International,4.00,,,,
Northwestern University,Computer Science Masters,Rejected,Fall 2025,International,3.72,318.0,,154.0,5.0
Stanford University,Computer Science Masters,Rejected,Fall 2025,American,4.00,,,,
North Carolina State University,Computer Science Masters,Rejected,Fall 2025,International,3.55,165.0,,160.0,3.5
Purdue University Northwest,Computer Science Masters,Rejected,Fall 2025,International,3.35,170.0,,169.0,5.0
New York University,Computer Science Masters,Rejected,Spring 2025,International,3.67,,,,
